Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.Injuries
20001212X20136,Accident,MIA00FA030,1999-11-27,"PHILADELPHIA, MS",United States,32.784444,-88.926111,,,Fatal(2),Destroyed,,N8144M,BELL,212,No,1.0,Turbo Shaft,,,Positioning,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,06-12-2002,2.0
20001212X20258,Accident,LAX00FA061,1999-12-28,"AVALON, CA",United States,33.416389,-118.465278,,,Non-Fatal,Destroyed,,N3593S,AEROSPATIALE,AS-350D,No,1.0,Turbo Shaft,,,Other Work Use,,0.0,1.0,6.0,0.0,VMC,Maneuvering,Probable Cause,23-10-2002,7.0
20001212X20387,Accident,LAX00LA071,2000-01-04,"CHANDLER, AZ",United States,33.266667,-111.8,,Memorial,Non-Fatal,Substantial,,N89678,ROTORWAY,EXEC 90,Yes,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-11-2003,0.0
20001212X20391,Accident,LAX00LA076,2000-01-18,"BRAWLEY, CA",United States,32.0,-115.0,,,Non-Fatal,Substantial,,N436SD,BELL,OH-58C,No,1.0,Turbo Shaft,,,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,06-12-2002,1.0
20001212X20356,Accident,FTW00FA070,2000-01-22,"San Antonio, TX",United States,29.553611,-98.483056,SAT,San Antonio International,Fatal(2),Destroyed,,N386TM,MITSUBISHI,MU-2B-26A,No,2.0,Turbo Prop,,,Personal,,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,04-06-2002,2.0
20001212X20536,Accident,MIA00LA091,2000-02-09,"MONROE, GA",United States,33.7825,-83.692777,D73,Monroe-Walton County,Non-Fatal,Substantial,,N101ET,BEECH,F90,No,2.0,Turbo Prop,,,Business,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,30-09-2003,0.0
20001212X20505,Accident,LAX00FA101A,2000-02-15,"PALM SPRINGS, CA",United States,33.833333,-116.516667,PSP,Palm Springs International,Non-Fatal,Substantial,,N6479D,CESSNA,172N,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,3.0,2.0,VMC,Approach,Probable Cause,25-11-2003,3.0
20001212X20505,Accident,LAX00FA101B,2000-02-15,"Palm Springs, CA",United States,33.833333,-116.516667,PSP,Palm Springs International,Non-Fatal,Minor,,N84PB,PIPER,PA-28-140,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,3.0,2.0,VMC,Approach,Probable Cause,25-11-2003,3.0
20030819X01362,Accident,NYC00LA083,2000-02-18,"SANDUSKY, OH",United States,41.433333,-82.652222,SKY,GRIFFIN SANDUSKY,Non-Fatal,Substantial,,N87341,CESSNA,310R,No,1.0,Reciprocating,,,Positioning,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-11-2003,0.0
20001212X20521,Accident,LAX00LA105,2000-02-18,"ELKO, NV",United States,40.816667,-115.791666,,,Non-Fatal,Substantial,Airplane,N4011Y,AYRES,,No,1.0,,Part 91: General Aviation,,Positioning,,0.0,0.0,1.0,0.0,VMC,Climb,Probable Cause,15-07-2010,1.0
20001212X20507,Incident,LAX00IA106,2000-02-21,"FRESNO, CA",United States,36.575,-119.091666,KFAT,Fresno-Yosemite International,Incident,,,N566SW,EMBRAER,120,No,2.0,Turbo Prop,,SCHD,Unknown,,0.0,0.0,0.0,20.0,VMC,Cruise,Probable Cause,28-04-2004,0.0
20001212X20667,Accident,LAX00LA116,2000-03-07,"WASCO, CA",United States,35.616667,-119.35,,,Non-Fatal,Substantial,,N1354X,BELL,47G-4A,No,1.0,Reciprocating,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,18-04-2003,0.0
20001212X20573,Incident,ANC00IA034,2000-03-07,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N949AS,MCDONNELL DOUGLAS,MD-83,No,2.0,Turbo Fan,,SCHD,,Alaska Air Group (dba: Alaska Airlines),0.0,0.0,0.0,117.0,VMC,Takeoff,Probable Cause,01-07-2002,0.0
20001212X20669,Accident,LAX00LA118,2000-03-08,"CALIPATRIA, CA",United States,33.13,-115.521667,CLR,Cliff Hatfield Memorial,Non-Fatal,Substantial,,N39FA,ARROW AIRCRAFT CO.,OH-58A,No,1.0,Turbo Shaft,,,Aerial Application,,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,06-12-2002,1.0
20001212X20657,Accident,LAX00FA123,2000-03-10,"ROUGH AND READY, CA",United States,39.366667,-121.25,,,Non-Fatal,Substantial,,N8351F,BOEING,369D,No,1.0,Turbo Shaft,,,Personal,,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,30-05-2006,1.0
20001212X20658,Accident,LAX00FA126,2000-03-11,"FALLBROOK, CA",United States,33.354167,-117.250833,L18,Fallbrook Community Airpark,Fatal(1),Substantial,,N95996,CESSNA,182Q,No,1.0,Reciprocating,,,Personal,,1.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,25-11-2003,2.0
20001212X20664,Incident,LAX00IA127,2000-03-13,"SAN FRANCISCO, CA",United States,37.620278,-122.38,SFO,SAN FRANCISCO INTL,Incident,Minor,,N516DA,BOEING,727-232,No,3.0,Turbo Fan,,SCHD,Unknown,"Delta Airlines, Inc.",0.0,0.0,0.0,77.0,VMC,Takeoff,Probable Cause,31-10-2006,0.0
20001212X20659,Accident,LAX00FA130,2000-03-19,"Snelling, CA",United States,37.486389,-120.350556,,,Fatal(1),Destroyed,,N415B,BELL,212,No,2.0,Turbo Shaft,,,Positioning,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,25-11-2003,1.0
20001212X20624,Accident,FTW00FA101,2000-03-21,"KILLEEN, TX",United States,31.085833,-97.686389,ILE,Killeen Municipal,Non-Fatal,Substantial,,N353SB,SAAB,340B,No,2.0,Turbo Prop,,SCHD,,"American Eagle Airlines, Inc. (dba: American Eagle)",0.0,0.0,1.0,35.0,IMC,Landing,Probable Cause,03-06-2002,1.0
20001212X20660,Accident,LAX00FA134,2000-03-24,"RIALTO, CA",United States,34.118056,-117.383611,L67,Rialto Municipal,Fatal(1),Destroyed,,N8328Q,ROBINSON,R22 BETA,No,1.0,Reciprocating,,,Instructional,,1.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-11-2003,1.0
20001212X20689,Accident,MIA00FA118,2000-03-26,"Panama City, FL",United States,30.227778,-85.719723,KPFN,Panama City-Bay County Int'l,Fatal(1),Destroyed,,N9204P,PIPER,PA-24-260,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Descent,Probable Cause,15-04-2003,1.0
20001212X20830,Accident,IAD00LA031,2000-04-03,"SELINSGROVE, PA",United States,40.820556,-76.863889,SEG,Selinsgrove,Non-Fatal,Substantial,,N1923L,BEECH,23,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,30-09-2003,0.0
20001212X20873,Accident,MIA00FA129,2000-04-05,"MARIANNA, FL",United States,1.483333,-75.533333,MAI,MARIANNA MUNI,Fatal(3),Destroyed,Airplane,N86BE,LEARJET,35A,No,2.0,Turbo Fan,Part 91: General Aviation,,Instructional,,3.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-01-2011,3.0
20001212X20849,Accident,LAX00LA149,2000-04-11,"FRESNO, CA",United States,36.776111,-119.719167,FAT,Fresno Airport,Non-Fatal,Substantial,,N2500T,PIPER,PA-38-112,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,06-12-2002,0.0
20001212X20834,Accident,LAX00FA151,2000-04-11,"Fullerton, CA",United States,33.866667,-117.966667,FUL,Fullerton Municipal,Fatal(1),Destroyed,,N6791P,BEECH,B36TC,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,15-04-2003,1.0
20001212X20880,Accident,MIA00LA133,2000-04-13,"LAKELAND, FL",United States,27.988889,-82.018611,LAL,Lakeland-Linder Regional,Fatal(1),Substantial,,N905AS,AIR & SPACE.,18A,Yes,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2003,1.0
20001212X20856,Accident,LAX00LA157,2000-04-16,"YREKA, CA",United States,42.0,-122.5,,,Non-Fatal,Substantial,,N1682U,CESSNA,207,No,1.0,Turbo Prop,,,Personal,,0.0,0.0,2.0,0.0,IMC,Cruise,Probable Cause,17-04-2003,2.0
20001212X20843,Accident,LAX00GA158,2000-04-17,"RENO, NV",United States,39.667223,-119.876111,4SD,RENO/STEAD,Fatal(3),Destroyed,,N7046U,GRUMMAN,US-2C,No,2.0,Reciprocating,,,Public Aircraft,,3.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,02-06-2004,3.0
20001212X20836,Accident,LAX00FA160,2000-04-18,"GRAND CANYON, AZ",United States,33.963611,-112.1425,GCN,GRAND CANYON NATIONAL PARK,Non-Fatal,Destroyed,,N2267N,BELL,206L-3,No,1.0,Turbo Shaft,,NSCH,,,0.0,6.0,1.0,0.0,VMC,Takeoff,Probable Cause,20-02-2002,7.0
20030721X01159,Accident,ATL00LA042,2000-04-19,"ROCK HILL, SC",United States,34.985277,-81.058889,U2A,Rock Hill,Non-Fatal,Substantial,,N41081,PIPER,PA-31-350,No,2.0,Reciprocating,,,Business,,0.0,0.0,0.0,2.0,VMC,Unknown,Probable Cause,30-09-2003,0.0
20030721X01161,Accident,ATL00LA044,2000-04-20,"COLQUITT, GA",United States,31.167223,-84.719167,,Unknown,Non-Fatal,Substantial,,N8899S,AIR TRACTOR,AT-301,No,1.0,Turbo Prop,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,30-09-2003,0.0
20030721X01160,Accident,ATL00LA043,2000-04-20,"STONESBORO, SC",United States,33.938889,-81.119445,,,Non-Fatal,Substantial,,N9762C,HILLER,UH-12ET,No,1.0,Turbo Shaft,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,30-09-2003,0.0
20030819X01363,Accident,NYC00LA120,2000-04-23,"LANCASTER, OH",United States,39.755556,-82.656944,LHQ,FAIRFIELD COUNTY,Non-Fatal,Substantial,,N66430,CESSNA,150,No,1.0,Reciprocating,,,Personal,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,25-11-2003,2.0
20030721X01162,Accident,ATL00LA050,2000-05-02,"ORLANDO, FL",United States,28.428889,-81.316111,MCO,Orlando International Airport,Non-Fatal,Substantial,,N56LW,CESSNA,501,No,2.0,Turbo Jet,,,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-09-2003,0.0
20001212X21030,Accident,LAX00GA185,2000-05-05,"CHINA LAKE, CA",United States,35.666667,-117.666667,NID,China Lake,Non-Fatal,Substantial,,N32229,BEECH,65-90,No,2.0,Turbo Prop,,,Public Aircraft,,0.0,1.0,0.0,3.0,VMC,Cruise,Probable Cause,25-11-2003,1.0
20001212X21033,Accident,LAX00LA183,2000-05-07,"GRAND CANYON, AZ",United States,35.651111,-112.147777,40G,Valle Airport,Non-Fatal,Substantial,,N1726X,CESSNA,T210L,No,1.0,Reciprocating,,,Personal,,0.0,0.0,3.0,2.0,VMC,Landing,Probable Cause,16-01-2003,3.0
20001212X21036,Accident,LAX00LA188,2000-05-09,"MESA, AZ",United States,33.460833,-111.728334,FFZ,FALCON FIELD,Non-Fatal,Substantial,,N7648Q,CESSNA,310Q,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-12-2004,0.0
20001212X21039,Accident,LAX00LA193,2000-05-10,"EUREKA, CA",United States,41.0,-124.0,,,Non-Fatal,Substantial,,N693CC,SIKORSKY,S61A,No,2.0,Turbo Shaft,,,Other Work Use,,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,30-03-2004,2.0
20001212X21025,Accident,LAX00FA191,2000-05-10,"KAUNAKAKAI, HI",United States,21.127223,-157.149722,MKK,KAUNAKAKAI,Fatal(6),Destroyed,,N241H,ROCKWELL,NA-265-65,No,2.0,Turbo Fan,,,Executive/corporate,,6.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,25-07-2002,6.0
20001212X21065,Accident,MIA00LA150,2000-05-11,"PICAYUNE, MS",United States,30.527778,-89.706944,MS76,Picayune Municipal,Non-Fatal,Destroyed,,N5107G,CESSNA,172H,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,30-09-2003,0.0
20001212X21067,Accident,MIA00LA152,2000-05-12,"FERNANDINA BCH, FL",United States,30.609444,-81.460556,55J,Fernandina Beach Municipal,Non-Fatal,Substantial,,N760WB,PIPER,PA-18-150,No,1.0,Reciprocating,,,Personal,,0.0,1.0,0.0,0.0,VMC,Climb,Probable Cause,30-09-2003,1.0
20001212X21068,Accident,MIA00LA153,2000-05-14,"APEX, NC",United States,35.732778,-78.849722,,,Fatal(2),Substantial,,N45DR,MCLARTY,VANS RV-4,Yes,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2003,2.0
20001212X21043,Accident,LAX00LA197,2000-05-15,"SHOW LOW, AZ",United States,34.265278,-110.005556,SOW,Show Low Municipal,Non-Fatal,Substantial,,N5477D,BEECH,H35,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,1.0,VMC,Approach,Probable Cause,06-12-2002,1.0
20020830X01495,Accident,DCA00MA052,2000-05-21,"Bear Creek Town, PA",United States,41.153889,-75.758889,AVP,Wilkes-Barre Scranton Int'l,Fatal(19),Destroyed,,N16EJ,BRITISH AEROSPACE,J-3101,No,2.0,Turbo Prop,,NSCH,,,19.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,08-05-2003,19.0
20001212X21052,Accident,LAX00LA211,2000-05-31,"LONG BEACH, CA",United States,33.817778,-118.151667,LBG,Long Beach,Non-Fatal,Substantial,,N6349W,PIPER,PA-28-140,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,06-12-2002,2.0
20030819X01364,Accident,NYC00LA148,2000-06-01,"WEST MILFORD, NJ",United States,41.078056,-74.346666,4N1,GREENWOOD LAKE,Non-Fatal,Substantial,,N100RF,BEECH,19,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-11-2003,0.0
20001212X21252,Accident,LAX00FA213,2000-06-01,"PRESCOTT VALLEY, AZ",United States,34.6,-112.25,,,Non-Fatal,Substantial,,N414PS,CESSNA,414A,No,2.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,20-02-2003,0.0
20001212X21257,Accident,LAX00LA215,2000-06-04,"CARSON CITY, NV",United States,39.192222,-119.734444,CXP,CARSON CITY,Non-Fatal,Substantial,,N201CE,MOONEY,M20J,No,1.0,Reciprocating,,,Personal,,0.0,4.0,0.0,0.0,VMC,Takeoff,Probable Cause,28-12-2004,4.0
20001212X21263,Accident,LAX00LA222,2000-06-08,"BAKER, CA",United States,35.043611,-116.193333,DAG,Barstow Dagget,Non-Fatal,Substantial,,N31M,MOONEY,M20D,No,1.0,Reciprocating,,,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,06-12-2002,0.0
20031008X01675,Accident,NYC00LA156,2000-06-09,"FORTY FORT, PA",United States,41.296944,-75.851111,WBW,WYOMING VALLEY AIRPORT,Non-Fatal,Substantial,,N51FY,STEWART,S-51,Yes,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,25-11-2003,1.0
20001212X21262,Accident,LAX00LA220,2000-06-10,"WELLINGTON, NV",United States,38.612778,-119.392222,,,Non-Fatal,Substantial,,N500XL,SIKORSKY,HH-3F,No,2.0,Turbo Shaft,,,Personal,,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-03-2004,2.0
20001212X21253,Accident,LAX00FA229,2000-06-14,"LIHUE, KAUAI, HI",United States,21.976111,-159.338889,LIH,Lihue,Non-Fatal,Substantial,,N649HA,MCDONNELL DOUGLAS,DC-9-51,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,2.0,137.0,VMC,Landing,Probable Cause,30-05-2003,2.0
20001212X21255,Accident,LAX00FA231,2000-06-15,"SAN JOSE, CA",United States,37.231389,-121.665833,,,Fatal(1),Destroyed,,N8659V,BELLANCA,8KCAB,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,1.0
20001212X21278,Accident,LAX00LA242,2000-06-28,"SAN BERNADINO, CA",United States,34.1,-117.233333,KSBD,San Bernadino,Fatal(1),,,N819AC,WORLDWIDE AERO CORP,AEROS-40B,No,2.0,Reciprocating,,,Instructional,,1.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,18-04-2003,1.0
20001212X21535,Accident,MIA00LA197,2000-07-01,"BELZONI, MS",United States,33.145277,-90.515278,,,Non-Fatal,Substantial,,N53208,CESSNA,A188B,No,1.0,Reciprocating,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,30-09-2003,0.0
20001212X21534,Accident,MIA00LA196,2000-07-02,"SELMA, AL",United States,32.343889,-86.987777,,,Non-Fatal,Substantial,,N26937,GULFSTREAM AMERICAN,AA5A,No,1.0,Reciprocating,,,Personal,,0.0,0.0,2.0,0.0,VMC,Climb,Probable Cause,30-09-2003,2.0
20001212X21348,Accident,ANC00FA082,2000-07-03,"WHITTIER, AK",United States,60.8,-148.25,,,Fatal(1),Destroyed,,N862SP,CESSNA,172S,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause,03-06-2002,1.0
20001212X21498,Accident,LAX00LA251,2000-07-06,"TUCSON, AZ",United States,32.115833,-110.940833,TUS,Tucson International,Non-Fatal,Substantial,,N2196T,PIPER,PA-28-180,No,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,06-12-2002,0.0
20001212X21427,Accident,DEN00FA127,2000-07-08,"Aspen, CO",United States,39.24,-106.711667,,,Fatal(4),Destroyed,,N4377V,CESSNA,195,No,1.0,Reciprocating,,,Personal,,4.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-07-2002,4.0
20001212X21503,Accident,LAX00LA257,2000-07-09,"WATSONVILLE, CA",United States,36.916667,-121.833333,,,Non-Fatal,Substantial,,N4426X,INTERAVIA,E-3,No,1.0,Reciprocating,,,Personal,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,1.0
20001212X21351,Incident,ANC00IA088,2000-07-11,"ANCHORAGE, AK",United States,61.179445,-149.983333,ANC,ANCHORAGE INTL,Incident,,,N935AS,MCDONNELL DOUGLAS,MD-82,No,2.0,Turbo Fan,,SCHD,Unknown,,0.0,0.0,0.0,107.0,VMC,Approach,Probable Cause,20-02-2002,0.0
20001212X21532,Accident,MIA00FA221,2000-07-17,"Hernando, MS",United States,34.747777,-90.081111,,,Fatal(1),Destroyed,,N158MT,BEECH,58,No,2.0,Reciprocating,,NSCH,,,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,23-07-2003,1.0
20001212X21525,Accident,LAX00MA273,2000-07-21,"KAHULUI, MAUI, HI",United States,20.871667,-156.581667,,,Fatal(7),Destroyed,,N510TG,AEROSPATIALE,AS 355F1,No,2.0,Turbo Shaft,,NSCH,Unknown,,7.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,09-04-2003,7.0
20001212X21429,Accident,DEN00FA141,2000-07-27,"Cheyenne, WY",United States,41.011667,-105.108889,,,Fatal(1),Destroyed,,N252KD,MOONEY,M20K,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause,25-07-2002,1.0
